actual_2024,budget_2025,revised_2025,budget_2026,code,title,header,revenue_type
4494072000,15000000000,8782991000,13150000000,5824,United Kingdom Project Loan,project loans,foreign loans
0,39109855000,0,8101268000,5825,USA Project Loan,project loans,foreign loans
0,7500000000,207936000,7500000000,5826,Saudi Arabia Project Loan,project loans,foreign loans
5147552000,17000000000,0,14950000000,5828,Sweden Project Loan,project loans,foreign loans
0,0,0,3150000000,5829,JICA Project Loan,project loans,foreign loans
16815268000,22413000000,3821607000,40935885000,5861,Other,project loans,foreign loans
0,62550000000,72975000000,41700000000,5851,IDB,project loans,foreign loans
0,0,0,7422600000,5852,IDA,project loans,foreign loans
18436078000,0,0,0,5854,Canada,project loans,foreign loans
0,70926479000,0,98025233000,5855,USA,project loans,foreign loans
0,0,26062500000,11321009000,5856,CDB,project loans,foreign loans
0,0,0,4281745000,5857,Other,project loans,foreign loans
30752215000,33723248000,38831361000,4562270000,5910,non-excise tax imports,value-added tax,tax
49431722000,54264625000,46513934000,49083758000,5020,non-excise tax domestic supplies,value-added tax,tax
